Video Caption,Comment
Beijing Winter Olympics 2022 hit by athlete complaints | Latest World English News | WION News,"What did you all expect? It's china.
Is the country with No Humanity.
People are treated like animals."
Beijing Winter Olympics 2022 hit by athlete complaints | Latest World English News | WION News,Block China
Beijing Winter Olympics 2022 hit by athlete complaints | Latest World English News | WION News,Ban China and Chinese goods
Beijing Winter Olympics 2022 hit by athlete complaints | Latest World English News | WION News,Itâ€™s the reflection of the tyranny of such country where the civil rights and liberties are violated.
Beijing Winter Olympics 2022 hit by athlete complaints | Latest World English News | WION News,"India even ineligible to compete !
In many world sport tournament, hardly get more than 10 Gold medal 
What a shame with population of 1.3 billion ppl !!!"
Beijing Winter Olympics 2022 hit by athlete complaints | Latest World English News | WION News,"India cant build stadiums properly for Commonwealth countries !!!
Look at yourself !!!"
Beijing Winter Olympics 2022 hit by athlete complaints | Latest World English News | WION News,"When it comes to China, India looks like a sour grape."
Beijing Winter Olympics 2022 hit by athlete complaints | Latest World English News | WION News,pack up and go home best solution ioc are desparet to appease ccp for the$$$$$$$
Beijing Winter Olympics 2022 hit by athlete complaints | Latest World English News | WION News,I forgot to mention that China is holing Imran Khan in custody till India allows him to become Prime Minister of India. Once he is in power then we might get less rubbish from this channel.
Beijing Winter Olympics 2022 hit by athlete complaints | Latest World English News | WION News,Oh my God! This is evil!  How could China that kills every second child that is born be allowed to do this. They even assassinated Vladimir Putin. And now you are telling us that they are starving Mother Teresa and will not let her return to India? Shocking! Disgusting! War on China!!!!!!!!!
Beijing Winter Olympics 2022 hit by athlete complaints | Latest World English News | WION News,"Why would anyone think they WOULDN'T be imprisoned and starved inside Communist China? They're lucky they weren't executed.
China cheats by rigging Wuhan virus tests, no surprise there."
Beijing Winter Olympics 2022 hit by athlete complaints | Latest World English News | WION News,This is the right place to find dirt.
Beijing Winter Olympics 2022 hit by athlete complaints | Latest World English News | WION News,"Very uplifting news, let's see, we have Depressed athletes, covid Athletes and still, the CCP could still use covid to indefinitely hold perfectly healthy athletes by, whose authority?. The political implications of these Olympic games are tainted by an idea calling political Neutrality as evasion I thought the IOC would forbid, they have even sanctioned other nations for less than what the CCP has done, So how is this even possible, it makes no sense and is very confusing. The Games are pretty much over now, but that doesn't mean the IOC cant reform from lessons and consequences we all must now go carefully into the future, but let's be better for it so a next time is at least very unlikely to be a political weapon."
Beijing Winter Olympics 2022 hit by athlete complaints | Latest World English News | WION News,"Cheating and deceiving by China?? Well I never..who'd have thought.
Next games in Iran please."
Beijing Winter Olympics 2022 hit by athlete complaints | Latest World English News | WION News,They just want to crush the spirits of all of the international athletes so they cannot win. Hell... some of chinas medals are won BY AN AMERICAN... who never once ski in china until the games! trained in the USA.  Those guys actually take pride in that victory? They are a bunch of shameless people
Beijing Winter Olympics 2022 hit by athlete complaints | Latest World English News | WION News,They where warned on wait could happen. ðŸ¤¦ðŸ¤·
Beijing Winter Olympics 2022 hit by athlete complaints | Latest World English News | WION News,let us not forget womens hockey the ROC team failed to produce covid test results to the Canadian team. Canada protested and delayed game waiting for the results. The ROC would not produce them and  the olympic committee instead of forfeiting the game they made the teams play wearing masks. Can't imagine how har it was to breathe. ROC karma was getting humiliated in that game. Tell me China is not trying to fix results
Beijing Winter Olympics 2022 hit by athlete complaints | Latest World English News | WION News,"Disgusting media, shame on u"
Beijing Winter Olympics 2022 hit by athlete complaints | Latest World English News | WION News,"when you sell your soul x cash you end up without neither.
When the world open its eyes to China it will be too late.
What do you expect from people that have been starving x 4000 years and got their minds bleached x 7 decades."
